id,name,age,email,start_date,end_date,source_system,record_type,region
5027,Person 5027,48,user5027@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5028,Person 5028,80,user5028@example.com,2024-06-01,2024-01-01,MODERN,STREAM,EU
5029,Person 5029,58,user5029@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5030,Person 5030,80,user5030@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5031,Person 5031,83,user5031@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5032,Person 5032,85,user5032@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5033,Person 5033,,user5033@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5034,Person 5034,46,user5034@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5035,Person 5035,79,user5035@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5036,Person 5036,-38,user5036@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5037,Person 5037,46,user5037@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5038,Person 5038,63,user5038@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5039,Person 5039,62,user5039@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5040,Person 5040,37,user5040@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5041,Person 5041,57,user5041@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5042,Person 5042,23,user5042@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5043,Person 5043,72,user5043@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,APAC
5044,Person 5044,204,user5044@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5045,Person 5045,61,user5045@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5046,Person 5046,38,user5046@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5047,Person 5047,516,user5047@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5048,Person 5048,56,user5048@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5049,Person 5049,262,user5049@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5050,Person 5050,58,user5050@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5051,Person 5051,34,user5051@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5052,Person 5052,19,user5052@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5053,Person 5053,28,user5053@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5054,Person 5054,71,user5054@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5055,Person 5055,32,user5055@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5056,Person 5056,82,user5056@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5057,Person 5057,62,user5057@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5058,Person 5058,24,user5058@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5059,Person 5059,90,user5059-example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5060,Person 5060,36,user5060@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5061,Person 5061,57,user5061@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5062,Person 5062,87,user5062@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5063,Person 5063,23,user5063@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5064,Person 5064,91,user5064@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5065,Person 5065,43,user5065@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5066,Person 5066,89,user5066@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5067,Person 5067,66,user5067@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5068,Person 5068,25,user5068@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5069,Person 5069,24,user5069@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5070,Person 5070,51,user5070@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5071,Person 5071,23,user5071@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5072,Person 5072,18,user5072@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5073,Person 5073,70,user5073@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5074,Person 5074,34,user5074@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5075,Person 5075,53,user5075@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5076,Person 5076,86,user5076@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5077,Person 5077,69,user5077@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5078,Person 5078,32,user5078@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5079,Person 5079,29,user5079@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5080,Person 5080,34,user5080@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5081,Person 5081,71,user5081@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5082,Person 5082,41,user5082@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5083,Person 5083,66,user5083-example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5084,Person 5084,73,user5084@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5085,Person 5085,-23,user5085@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5086,Person 5086,26,user5086@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5087,Person 5087,26,user5087@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5088,Person 5088,46,user5088@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5089,Person 5089,70,user5089@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5090,Person 5090,29,user5090@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5091,Person 5091,64,user5091@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5092,Person 5092,78,user5092@example.com,2024-06-01,2024-01-01,MODERN,STREAM,EU
5093,Person 5093,38,user5093@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5094,Person 5094,56,user5094@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5095,Person 5095,,user5095@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5096,Person 5096,79,user5096@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,EU
5097,Person 5097,84,user5097@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5098,Person 5098,48,user5098@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5099,Person 5099,85,user5099@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5100,Person 5100,42,user5100@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5101,Person 5101,-25,user5101@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5102,Person 5102,52,user5102@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5103,Person 5103,37,user5103@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5104,Person 5104,20,user5104@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5105,Person 5105,79,user5105@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5106,Person 5106,50,user5106@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5107,Person 5107,29,user5107@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5108,Person 5108,36,user5108@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5109,Person 5109,61,user5109@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5110,Person 5110,38,user5110@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5111,Person 5111,80,user5111-example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,APAC
5112,Person 5112,74,user5112@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5113,Person 5113,36,user5113@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5114,Person 5114,20,user5114@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5115,Person 5115,54,user5115@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5116,Person 5116,,user5116@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5117,Person 5117,36,user5117@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5118,Person 5118,32,user5118@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5119,Person 5119,20,user5119@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5120,Person 5120,50,user5120@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5121,Person 5121,31,user5121@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5122,Person 5122,756,user5122@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5123,Person 5123,91,user5123@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5124,Person 5124,50,user5124@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5125,Person 5125,88,user5125@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5126,Person 5126,25,user5126@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5127,Person 5127,40,user5127@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5128,Person 5128,23,user5128@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5129,Person 5129,35,user5129@example.com,2024-06-01,2024-01-01,MODERN,STREAM,US
5130,Person 5130,71,user5130@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5131,Person 5131,33,user5131@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5132,Person 5132,59,user5132@example.com,2024-06-01,2024-01-01,MODERN,STREAM,EU
5133,Person 5133,23,user5133@example.com,2024-06-01,2024-01-01,MODERN,STREAM,US
5134,Person 5134,26,user5134@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5135,Person 5135,74,user5135@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5136,Person 5136,85,user5136@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5137,Person 5137,76,user5137@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5138,Person 5138,54,user5138@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5139,Person 5139,27,user5139@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5140,Person 5140,81,user5140@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5141,Person 5141,29,user5141@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5142,Person 5142,55,user5142@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5143,Person 5143,74,user5143@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5144,Person 5144,75,user5144@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5145,Person 5145,77,user5145@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5146,Person 5146,59,user5146@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5147,Person 5147,85,user5147@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5148,Person 5148,24,user5148@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5149,Person 5149,51,user5149@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5150,Person 5150,52,user5150@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5151,Person 5151,26,user5151@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5152,Person 5152,40,user5152@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5153,Person 5153,76,user5153@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5154,Person 5154,82,user5154@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5155,Person 5155,65,user5155@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5156,Person 5156,50,user5156@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5157,Person 5157,23,user5157@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5158,Person 5158,32,user5158@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5159,Person 5159,87,user5159@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5160,Person 5160,27,user5160@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5161,Person 5161,29,user5161@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5162,Person 5162,78,user5162@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5163,Person 5163,68,user5163@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5164,Person 5164,70,user5164@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5165,Person 5165,33,user5165@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5166,Person 5166,73,user5166@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5167,Person 5167,78,user5167@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5168,Person 5168,48,user5168@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5169,Person 5169,28,user5169@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5170,Person 5170,78,user5170@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5171,Person 5171,52,user5171@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5172,Person 5172,54,user5172@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5173,Person 5173,66,user5173@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5174,Person 5174,69,user5174@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5175,Person 5175,58,user5175@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5176,Person 5176,-31,user5176@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5177,Person 5177,32,user5177@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5178,Person 5178,88,user5178@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5179,Person 5179,55,user5179@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5180,Person 5180,32,user5180@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5181,Person 5181,73,user5181@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5182,Person 5182,78,user5182@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5183,Person 5183,63,user5183@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5184,Person 5184,91,user5184-example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5185,Person 5185,18,user5185-example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5186,Person 5186,48,user5186@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5187,Person 5187,36,user5187@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5188,Person 5188,85,user5188@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5189,Person 5189,89,user5189@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5190,Person 5190,59,user5190@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5191,Person 5191,21,user5191@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5192,Person 5192,832,user5192@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5193,Person 5193,18,user5193@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5194,Person 5194,32,user5194@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5195,Person 5195,45,user5195@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5196,Person 5196,79,user5196@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5197,Person 5197,51,user5197@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5198,Person 5198,25,user5198@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5199,Person 5199,61,user5199@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5200,Person 5200,37,user5200@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5201,Person 5201,33,user5201-example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5202,Person 5202,36,user5202@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5203,Person 5203,44,user5203@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5204,Person 5204,82,user5204@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5205,Person 5205,70,user5205@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5206,Person 5206,85,user5206@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5207,Person 5207,44,user5207@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5208,Person 5208,64,user5208@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5209,Person 5209,26,user5209@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5210,Person 5210,41,user5210@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5211,Person 5211,36,user5211@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5212,Person 5212,62,user5212@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5213,Person 5213,60,user5213-example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5214,Person 5214,28,user5214@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5215,Person 5215,63,user5215@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5216,Person 5216,87,user5216@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5217,Person 5217,35,user5217@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5218,Person 5218,26,user5218@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5219,Person 5219,798,user5219@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5220,Person 5220,54,user5220-example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5221,Person 5221,91,user5221@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5222,Person 5222,53,user5222@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5223,Person 5223,18,user5223@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5224,Person 5224,57,user5224@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5225,Person 5225,62,user5225@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5226,Person 5226,59,user5226@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5227,Person 5227,,user5227@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5228,Person 5228,54,user5228@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5229,Person 5229,62,user5229@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5230,Person 5230,65,user5230@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5231,Person 5231,55,user5231@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5232,Person 5232,27,user5232@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5233,Person 5233,36,user5233@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5234,Person 5234,79,user5234@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5235,Person 5235,70,user5235@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,APAC
5236,Person 5236,60,user5236@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5237,Person 5237,37,user5237-example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5238,Person 5238,64,user5238@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5239,Person 5239,65,user5239@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5240,Person 5240,77,user5240@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5241,Person 5241,42,user5241@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5242,Person 5242,42,user5242@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5243,Person 5243,46,user5243@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5244,Person 5244,65,user5244-example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5245,Person 5245,44,user5245@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5246,Person 5246,20,user5246-example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5247,Person 5247,27,user5247@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,APAC
5248,Person 5248,50,user5248@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5249,Person 5249,81,user5249-example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5250,Person 5250,83,user5250@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5251,Person 5251,894,user5251@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5252,Person 5252,39,user5252@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5253,Person 5253,,user5253@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,US
5254,Person 5254,,user5254@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5255,Person 5255,27,user5255@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5256,Person 5256,35,user5256@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5257,Person 5257,29,user5257-example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5258,Person 5258,63,user5258@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5259,Person 5259,32,user5259@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5260,Person 5260,28,user5260@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5261,Person 5261,82,user5261@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5262,Person 5262,62,user5262@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5263,Person 5263,78,user5263@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5264,Person 5264,20,user5264@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5265,Person 5265,88,user5265@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5266,Person 5266,36,user5266@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5267,Person 5267,38,user5267@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5268,Person 5268,43,user5268@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,EU
5269,Person 5269,-26,user5269@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5270,Person 5270,51,user5270@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5271,Person 5271,85,user5271@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5272,Person 5272,47,user5272@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5273,Person 5273,59,user5273@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5274,Person 5274,50,user5274@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5275,Person 5275,54,user5275@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5276,Person 5276,31,user5276@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5277,Person 5277,24,user5277@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5278,Person 5278,481,user5278@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5279,Person 5279,39,user5279@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5280,Person 5280,28,user5280@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5281,Person 5281,54,user5281@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5282,Person 5282,67,user5282@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5283,Person 5283,36,user5283@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5284,Person 5284,18,user5284@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5285,Person 5285,81,user5285@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5286,Person 5286,82,user5286@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5287,Person 5287,57,user5287@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,APAC
5288,Person 5288,63,user5288@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5289,Person 5289,30,user5289@example.com,2024-06-01,2024-01-01,MODERN,STREAM,US
5290,Person 5290,-19,user5290@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5291,Person 5291,36,user5291@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5292,Person 5292,77,user5292@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,EU
5293,Person 5293,27,user5293@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5294,Person 5294,22,user5294@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5295,Person 5295,72,user5295@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,APAC
5296,Person 5296,85,user5296@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,EU
5297,Person 5297,43,user5297@example.com,2024-06-01,2024-01-01,MODERN,STREAM,US
5298,Person 5298,63,user5298@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5299,Person 5299,48,user5299@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5300,Person 5300,38,user5300@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
